,Country,BusVisa,TourVisa
75,Germany,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
76,Ghana,Business: Visa Required ,Tourist: Visa Required 
77,Gibraltar,,Tourist: No visa is required for a stay of up to six months
78,Greece,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
79,Greenland,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
80,Grenada,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
81,Guadeloupe,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
82,Guatemala,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
83,Guinea Bissau,Business: Visa Required ,Tourist: Visa Required 
84,"Guinea, Republic of",Business: Visa Required ,Tourist: Visa Required 
85,Guyana,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
86,Haiti,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
87,Honduras,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
88,"Hong Kong, China",Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
89,Hungary,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
90,Iceland,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
91,India,Business: Visa Required ,Tourist: Visa Required 
92,Indonesia,"Business: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility ","Tourist: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility"
93,Iran,Business: Visa Required ,Tourist: Visa Required 
94,Iraq,Business: Visa Required ,Tourist: Visa Required 
95,Ireland,Business: No visa is required for you to travel to this destination. ,Tourist: No Visa Required
96,Israel,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
97,Italy,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
98,Jamaica,Business: No Visa Required ,Tourist: No visa is required for a stay of up to six months
99,Japan,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
100,Jordan,Business: Visa Required ,Tourist: Visa Required 
101,Kazakhstan,"Business: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility ","Tourist: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility"
102,Kenya,Business: Visa Required ,Tourist: Visa Required 
